Website,Logo_URL
https://www.amatocouture.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSR5pVVMU4FKGQM25b8f2JxpIAm43D2jio8nQ&s
https://www.thehouseofnomad.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJJ_ekkMdBSmXucrhvxLZDdJzjdHs443v-Uw&s
https://www.xbdcollective.com,https://media.licdn.com/dms/image/v2/D4D0BAQHVH1uYzZ8h8Q/company-logo_200_200/company-logo_200_200/0/1706160321884/xbdcollective_logo?e=2147483647&v=beta&t=fD-ze5cny2NwsQQEZ0098C96yLbUiLA5UNCW-U1lHQc
https://www.lwdesign.com,https://st4.depositphotos.com/5040187/19695/v/450/depositphotos_196956684-stock-illustration-logo-swoosh-ellipse-green-letter.jpg
https://www.bluecameldesign.com,https://media.licdn.com/dms/image/v2/D4D0BAQEOkEKp_bofvg/company-logo_200_200/company-logo_200_200/0/1683189129547/bluecameldesign_logo?e=2147483647&v=beta&t=K9Q92_KWyAg92fY4RaVPXCtVHQk4yBMees0IYDaojrc
https://www.wilsonassociates.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAM8lV7cTaPu2XPym3nvTfsDZaLc5SMYVuTg&s
https://www.dubaidet.gov.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9XlFgmiAoAt7GfSgbxFvXhB8ffUrif_33pA&s
https://www.dubaipulse.gov.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4FFAknagqyIJDqNaSBLcmlNggoRuA8jx6Ig&s
https://www.oxfordeconomics.com,https://images.seeklogo.com/logo-png/30/3/oxford-economics-logo-png_seeklogo-300674.png?v=1955308659696699056
https://www.difc.ae,https://cdn.brandfetch.io/difc.ae/fallback/lettermark/theme/dark/h/256/w/256/icon?c=1bfwsmEH20zzEfSNTed
https://www.emiratesnbd.com,https://images.ctfassets.net/opz1rk40r4ou/2fn0gRC1InFNBOHCVqfWIs/20b64cec07d8fa0c1599e7db53d5b5be/enbd_logo_380x380.jpeg
https://www.dubaichamber.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlVbqISgBQXK4SSpDCuzD765hDu063xmu9mA&s
https://www.birmingham.ac.uk/dubai,https://logowik.com/content/uploads/images/birmingham-city-fc3977.jpg
https://www.amityuniversity.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRk0Vq42GaB9tnCxEbuc6v88P85Sxv-Yp123g&s
https://synergy.university,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPtIBe8pjVqiWKv6UTngHI2dp8D6yuZTNfCg&s
https://www.mdx.ac.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRN4XCMnEXxK55EWER4uUgkB7j2nKamlteN1A&s
https://www.dmcc.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpYKRysH1QKJgjm3QFeMyXf6gXUGQnkdDB0g&s
https://www.investindubai.gov.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6Z6xqxfBDY3vQI_OOSQZcEVPPxJ-gbmAuVw&s
https://www.dubaifdi.gov.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHVXUeymyJp7vdofba8HgRs1q6EotQ9Nsntg&s
https://www.emiratesinvestmentbank.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwiPFxvw0fPEawrUYC1Oapz5xKTQ20kWA0Ig&s
https://www.gulfanalytica.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxgmPqUx8biyCZblCDFPZXE5IUskyH-oA_ug&s
https://www.dm.gov.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7tgtFSqjoMKVZ1p_4zVbvKipPcfcQDpatGQ&s
https://www.bits-pilani.ac.in/dubai,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0qnq5fMwJLS4DGYjWafXw5nW2N7ofRpj9Lw&s
https://www.rit.edu/dubai,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiXH80xBf45jd7Y0aLPDWT6juQomi2xHUFbg&s
https://www.dewa.gov.ae,https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/0021/6863/brand.gif?itok=y1rrx0oU
https://www.ega.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtSUdq1gdbLUlgBJkjW_VFzkiYS6GZQsg9vQ&s
https://www.dpworld.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9UC8dJeHRKb0OPxiTnW9piWDwAfPqCpLY6w&s
https://www.atkinsrealis.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzEPEm50-9cicsgxuDJG-5oBa9rpa9i6ihuQ&s
https://www.parsons.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1Tr4NdALRqHaU16-L1aEBjWxutNR7HG0Z3Q&s
https://www.aecom.com,https://yt3.googleusercontent.com/7jT4wxZIRchk2CWrioY1UoUtJWeuFwhU-yhknqrO_BMC7Ays1nx2u-S2PQsyvJTLAgYX25rN=s900-c-k-c0x00ffffff-no-rj
https://www.khatibalami.com,https://media.licdn.com/dms/image/v2/C4D0BAQHh7jATR5D0OQ/company-logo_200_200/company-logo_200_200/0/1631353631656?e=2147483647&v=beta&t=G6KZCvfoG62JwZIJ0Qhs04WlKxBem1uKQ-H1vsYWbxI
https://www.emiratessteel.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnx9ej-QxQEWb5WA0RxvyTzaNRVqevi8TVDA&s
https://daep.gov.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZKZX1lNO2-2DmWqrKpzVFWnxtGG7aQJ9rfg&s
https://www.masdar.ae,https://images.seeklogo.com/logo-png/50/2/masdar-logo-png_seeklogo-509093.png
https://www.dubai-technologies.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlYB_9UwPuqiy1pnMXNHyBl-X7bMM9jAbf3Q&s
https://www.emiratesengineering.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkmzkFeSn9kF-QgnMEpGQIuzxKPa0TMJyHAg&s
https://www.dha.gov.ae,https://www.cdnlogo.com/logos/d/64/dha.svg
https://www.dhcc.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStJT9woBcHyyileuy0Fz2LyKXsAL-Xj_7PEg&s
https://healthservehhc.co,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaV_QL8rCNI8dD78cksVcH8YP3jlEelgPPZQ&s
https://sidrahc.com,https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/082024/sidra_medicine_0.jpg?1V3K.AqWNxMi9Idl.vmM5F3dIjwnFPy1&itok=V2eR2cSF
https://www.medcare.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAycBc-dfOI_cv-_PQFN6oy5IyZjzuSmMNpw&s
https://www.asterdmhealthcare.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRy5lqXlMmF9xwzMfPNNq_-io4H5mB29sBOBg&s
https://www.zulekhahospitals.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvQbWtoND_-Einf6QAmGshtxvCy3Hbq8hlig&s
https://www.sghdubai.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT681JIVSaH2n_lk-owkhWb1Y2kVgJbvj55Iw&s
https://www.thumbay.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTajNSTfm6Ln-abE8PXiovXz9UaOY4M-avJUA&s
https://www.ahdubai.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXrsEtbL7Vr0O9FcGPpYzm8UziLcUHnkPnPg&s
